Tipo;altura;largura;larg1;larg2;larg3
0;48;193;193;193;193;
0;0;3;3;3;3;
0;45;180;180;180;180;
1;164;164;142;164;142;
1;88;88;76;88;76;
1;96;96;82;96;82;
1;124;124;106;124;106;
1;190;190;164;190;164;
1;34;34;30;34;30;
0;73;294;294;294;294;
1;196;196;168;196;168;
0;9;37;37;37;37;
0;17;70;70;70;70;
0;46;187;187;187;187;
1;122;122;106;122;106;
1;194;194;168;194;168;
1;44;44;38;44;38;
1;164;164;142;164;142;
0;22;90;90;90;90;
0;73;293;293;293;293;
1;118;118;102;118;102;
1;116;116;100;116;100;
0;29;118;118;118;118;
1;190;190;164;190;164;
0;39;157;157;157;157;
0;0;3;3;3;3;
0;15;61;61;61;61;
1;88;88;76;88;76;
0;1;4;4;4;4;
1;148;148;128;148;128;
1;164;164;142;164;142;
0;12;50;50;50;50;
0;15;63;63;63;63;
1;126;126;108;126;108;
0;21;85;85;85;85;
0;53;213;213;213;213;
0;23;92;92;92;92;
1;134;134;116;134;116;
0;66;267;267;267;267;
1;192;192;166;192;166;
